energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0.606,0.125,189.857,0.0484,0.247,0.0,4,0.262,8,252534,-6.646,0.275,1
0.73,0.398,102.002,0.0568,0.383,0.0,4,0.717,9,251173,-4.729,0.792,0
0.761,0.17,141.971,0.0853,0.256,4.96e-06,4,0.52,4,180823,-3.093,0.286,1
0.701,0.0514,100.946,0.282,0.309,7.36e-05,4,0.799,2,201920,-3.272,0.607,1
0.753,0.0371,119.002,0.0517,0.152,0.0,4,0.774,4,219147,-5.446,0.896,0
0.657,0.112,107.01,0.0449,0.171,0.0,4,0.753,7,184732,-3.061,0.437,1
0.291,0.0771,119.782,0.0348,0.405,0.0,3,0.657,2,277680,-8.275,0.405,0
0.626,0.396,91.03,0.125,0.0589,6e-05,4,0.835,1,217925,-5.833,0.35,1
0.703,0.143,104.666,0.0772,0.0168,2.38e-05,4,0.548,11,185040,-4.838,0.286,0
0.407,0.11,139.028,0.0267,0.309,0.000961,3,0.421,10,285120,-7.445,0.161,1
0.585,0.0644,105.017,0.0432,0.103,3.94e-06,4,0.803,8,214480,-5.861,0.593,1
0.539,0.165,136.948,0.0421,0.199,1.66e-05,4,0.799,1,202547,-6.351,0.394,1
0.696,0.42,90.03,0.119,0.321,0.0,4,0.677,0,198082,-6.181,0.464,1
0.557,0.124,150.073,0.0318,0.74,0.0,4,0.652,1,169354,-5.714,0.483,0
0.88,0.128,95.079,0.0504,0.205,0.0,4,0.626,9,202621,-2.384,0.534,0
0.434,0.165,150.062,0.431,0.0102,0.0219,4,0.833,2,204600,-8.795,0.281,1
0.275,0.101,92.6,0.3,0.687,0.0,4,0.492,6,251034,-13.4,0.18,0
0.533,0.103,131.036,0.0412,0.0172,0.000152,4,0.797,0,146520,-9.74,0.329,0
0.427,0.21,76.469,0.0317,0.0546,5.83e-06,4,0.598,7,175721,-8.764,0.0605,0
0.495,0.0992,129.062,0.037,0.591,0.000133,4,0.864,0,244973,-7.036,0.72,1
0.533,0.0864,99.968,0.0706,0.119,0.0,4,0.64,0,220781,-6.596,0.515,1
0.683,0.137,96.133,0.117,0.0372,0.0,4,0.697,1,186987,-2.881,0.603,0
0.771,0.102,99.048,0.0483,0.0237,7e-06,4,0.676,8,207133,-3.675,0.569,1
0.647,0.0801,92.979,0.186,0.124,0.0,4,0.64,5,197867,-8.114,0.546,0
0.714,0.179,147.998,0.121,0.314,0.0,4,0.661,5,212120,-5.68,0.464,0
0.72,0.0563,79.983,0.0628,0.272,0.0,4,0.508,11,261640,-5.908,0.472,0
0.356,0.123,160.033,0.0941,0.172,0.00943,4,0.745,1,326933,-10.425,0.607,1
0.654,0.036,117.046,0.0401,0.0236,0.0153,4,0.92,11,293827,-3.051,0.847,0
0.788,0.127,126.06,0.103,0.0678,0.153,4,0.604,0,245040,-3.673,0.301,0
0.77,0.118,125.905,0.149,0.176,1.1e-05,4,0.694,6,184560,-5.335,0.163,1
0.449,0.0898,80.126,0.425,0.33,0.000162,4,0.736,1,219080,-11.462,0.326,0
0.736,0.235,159.173,0.229,0.0528,0.0,4,0.65,6,226160,-5.84,0.613,0
0.574,0.19,100.023,0.0479,0.569,0.0,4,0.62,5,250173,-7.788,0.357,0
0.783,0.083,154.084,0.0856,0.047,0.0,4,0.643,10,163870,-6.458,0.579,1
0.605,0.189,122.956,0.0428,0.239,1.41e-05,4,0.715,0,212733,-5.128,0.454,0
0.519,0.454,133.99,0.0409,0.109,0.0,4,0.501,4,195707,-5.88,0.168,0
0.711,0.104,113.809,0.0478,0.422,0.0,4,0.671,2,248440,-7.813,0.466,1
0.308,0.0984,64.934,0.029,0.883,0.0,4,0.669,11,121887,-10.068,0.52,1
0.835,0.249,125.983,0.0433,0.0166,0.0,4,0.527,6,176658,-5.298,0.654,1
0.613,0.104,98.001,0.151,0.0293,0.0,4,0.866,0,229210,-6.385,0.359,1
0.534,0.0919,91.974,0.0946,0.0752,0.0,4,0.725,11,219320,-6.238,0.558,1
0.74,0.167,116.879,0.0284,0.0115,0.00678,4,0.64,4,216320,-4.083,0.785,1
0.715,0.271,127.435,0.0407,0.0755,0.0,4,0.679,9,214148,-6.383,0.571,1
0.463,0.109,111.98,0.0396,0.256,0.085,4,0.809,11,298941,-11.377,0.364,1
0.713,0.294,121.993,0.0594,0.04,3.11e-06,4,0.699,9,205920,-5.507,0.354,0
0.667,0.134,80.984,0.0367,0.0533,0.0,4,0.599,7,288877,-4.267,0.817,1
0.225,0.106,120.006,0.0994,0.902,0.657,4,0.704,6,245426,-14.454,0.243,0
0.804,0.204,124.996,0.0422,0.124,0.0,4,0.725,11,197993,-4.614,0.31,0
0.803,0.153,106.97,0.0797,0.034,0.0,4,0.818,1,225983,-4.282,0.632,1
0.734,0.106,137.958,0.0588,0.0427,0.0,4,0.842,1,181027,-5.065,0.952,0
0.446,0.337,123.596,0.0683,0.0039,0.118,4,0.743,4,232107,-7.807,0.278,0
0.508,0.0575,147.125,0.027,0.00574,0.000494,4,0.579,2,391376,-9.484,0.609,1
0.86,0.0574,93.989,0.0593,0.11,1.94e-06,4,0.737,8,193227,-2.652,0.656,0
0.712,0.211,98.023,0.046,0.132,0.0,4,0.694,7,201122,-3.923,0.799,0
0.8,0.359,134.002,0.0504,0.127,0.0,4,0.714,11,211560,-4.808,0.589,0
0.628,0.0504,134.966,0.0551,0.00258,0.00019,4,0.891,2,267067,-7.863,0.552,1
0.478,0.355,107.682,0.0293,0.189,2.48e-06,4,0.735,2,262960,-12.472,0.947,1
0.624,0.243,176.169,0.309,0.6,2.12e-06,4,0.61,2,250534,-4.773,0.244,1
0.385,0.135,89.792,0.0288,0.536,0.0,4,0.522,0,207520,-7.355,0.236,1
0.832,0.269,125.926,0.0298,0.168,0.00131,4,0.697,9,215093,-7.264,0.979,1
0.834,0.14,135.007,0.0989,0.0232,1.14e-05,4,0.461,2,261154,-4.868,0.471,1
0.595,0.109,119.972,0.0313,0.0275,0.0,4,0.516,5,340707,-4.63,0.222,1
0.856,0.141,127.949,0.0346,0.0211,0.0178,4,0.596,4,222533,-3.556,0.743,0
0.57,0.112,129.953,0.133,0.847,2.14e-05,4,0.734,7,95467,-7.066,0.689,0
0.726,0.0976,139.059,0.282,0.259,0.0,4,0.763,1,126346,-6.405,0.349,1
0.739,0.111,97.085,0.129,0.0285,0.0,4,0.573,0,230227,-5.74,0.451,1
0.539,0.099,97.062,0.0621,0.0141,0.000496,4,0.817,6,210368,-6.349,0.158,0
0.674,0.158,111.995,0.0959,0.0184,0.0,4,0.756,0,251467,-6.518,0.389,0
0.7,0.0939,124.944,0.0456,0.117,0.0,4,0.584,11,202747,-4.275,0.438,1
0.529,0.0856,161.989,0.307,0.0769,0.000335,4,0.671,0,165820,-7.226,0.203,1
0.7,0.0828,188.386,0.047,0.011,0.00965,4,0.31,9,255493,-5.678,0.763,1
0.751,0.106,117.948,0.0874,0.177,6.43e-05,4,0.88,7,157606,-4.258,0.884,0
